group,n,mean,std,min,max,ks_vs_ava_mean,ks_p_vs_ava_mean,wasserstein_vs_ava_mean,ks_vs_ava_width,ks_p_vs_ava_width,wasserstein_vs_ava_width,pred_width_mean,pred_width_std
ava_test,2321,5.336178221511512,0.9867369682422437,2.713254928588867,7.741115093231201,0.0,1.0,0.0,0.0,1.0,0.0,1.5267914780148757,0.12380294558724277
east_asia,186,5.152562251655004,0.5885315689023932,3.661292314529419,6.607114791870117,0.23057590119201493,1.5741040576444114e-08,0.41033323037126934,0.129363502012944,0.005651003069859524,0.029999084389716227,1.4972709680116305,0.11159942713905818
south_asia,289,5.34586562499868,0.6162722418232195,3.541814088821411,7.074018478393555,0.17166714621576132,4.3045779554479264e-07,0.3398601261992537,0.05799761169642604,0.33850157122277186,0.018640780308194615,1.5081522468877087,0.1264956417453772
mena,212,5.676002802713862,0.6242262220105806,3.927136182785034,7.028618812561035,0.23203645143196247,1.1241252342226464e-09,0.40159287117774434,0.08118857356539552,0.14554913392698302,0.02085499088239511,1.5065879939862017,0.10893760862933555
