group,n,mean,std,median,p25,p75,ks_vs_ava,p_vs_ava,wasserstein_vs_ava
ava_test,2321,0.6235040723598365,2.644177914015311,0.3794560432434082,0.1892865002155304,0.6706846952438354,0.0,1.0,0.0
east_asia,186,0.4800956107035119,0.35948489626924524,0.3880864977836609,0.20516539737582207,0.6783231347799301,0.07269993931054931,0.30654999639887076,0.16482628726439497
south_asia,289,0.4766272799946548,0.5055269955018892,0.33772626519203186,0.1623617261648178,0.6492088437080383,0.07634819140419428,0.09438361438150217,0.15079645432232477
mena,212,0.3956200062332429,0.3067185487572423,0.32192835211753845,0.15160959586501122,0.5644549876451492,0.10217619276011479,0.03204637322081444,0.22801680872809107
