group,n,ratio_mean,ratio_median,ratio_ks,ratio_p,ratio_W,ratio_trim_mean,ratio_trim_std,ratio_trim_ks,ratio_trim_p,ratio_trim_W,entropy_mean,entropy_std,entropy_p25,entropy_median,entropy_p75,entropy_ks,entropy_p,entropy_W
ava_test,2321,0.6235040723598365,0.3794560432434082,0.0,1.0,0.0,0.47488390659411445,0.3637222036444093,0.0,1.0,0.0,0.8966532814531761,0.07708983308126273,0.8912705125125538,0.9066784152288874,0.9184545973811028,0.0,1.0,0.0
east_asia,186,0.4800956107035119,0.3880864977836609,0.07269993931054931,0.30654999639887076,0.16482628726439497,0.46885136174418596,0.3281011741587829,0.07269993931054931,0.30654999639887076,0.027450370457999855,0.9099752691097738,0.019333720778338417,0.8985489726697298,0.9119374625853183,0.9238013383109334,0.12870564689858377,0.005997601558791222,0.013402428387255864
south_asia,289,0.4766272799946548,0.33772626519203186,0.07634819140419428,0.09438361438150217,0.15079645432232477,0.4460029893435511,0.3551087441507091,0.07634819140419428,0.09438361438150217,0.032796196532183707,0.9092825085160122,0.019401850166736415,0.8987936844374631,0.9105802446431523,0.9236478481429202,0.11688524663483256,0.0016151788648224208,0.012733417969131222
mena,212,0.3956200062332429,0.32192835211753845,0.10217619276011479,0.03204637322081444,0.22801680872809107,0.3850733235566262,0.2783058839900913,0.1055579491598449,0.024305459897732272,0.08994332563898672,0.9084912175697305,0.02006044116224108,0.8982187141404733,0.9115898407860838,0.921221549148961,0.11643891296041882,0.009401749007913105,0.011858393681786957
