epoch,train_loss,val_loss,val_spearman,val_pearson,seconds
1,0.11648306017741561,0.1048694160373728,0.7353247598819235,0.7346621557269247,31.95810317993164
2,0.09447388682100508,0.10418751276145982,0.7486103753907329,0.7473654833009511,30.299100637435913
3,0.08687042041371267,0.10015293726406,0.7523491394967587,0.7509113270776666,30.98023533821106
4,0.0802673750763966,0.11946803217640516,0.7517924603307069,0.7459206156129631,29.687071800231934
5,0.07448152364749047,0.10231320676283366,0.7468571409229224,0.7477558053398253,29.812757968902588
6,0.06997766350913379,0.10194482289354263,0.7477953157061837,0.7459401080077426,30.20976161956787
7,0.06544886912322706,0.10269069916128136,0.754650365511465,0.7523371623348638,29.795753240585327
8,0.06263757375482884,0.1002611106501771,0.7548789933841981,0.7542104811482303,30.047171592712402
9,0.05803194336800112,0.10438374142713103,0.7524949007476809,0.7503116402354424,29.4628643989563
10,0.05677601687299708,0.10660527977143038,0.7436863021727966,0.7406622268656626,29.457817316055298
