group,identifier,border_centre_ratio,attention_entropy
ava_test,324403,0.6250711679458618,0.9001077420972624
ava_test,408345,1.3274056911468506,0.8741102019452481
ava_test,355896,0.4976050555706024,0.9168285069136695
ava_test,457893,0.1461399346590042,0.8986016772140726
ava_test,82184,0.6556920409202576,0.9122334334917277
ava_test,676339,0.4721878468990326,0.9009880578342013
ava_test,669526,0.3351483643054962,0.9175909615305229
ava_test,322489,1.299053430557251,0.8666559564956463
ava_test,367789,2.760810613632202,0.8439492435161364
ava_test,517765,0.483175665140152,0.9199864288174613
ava_test,530818,0.0979517474770546,0.8917967344194598
ava_test,9363,0.23350466787815094,0.8853099455805978
ava_test,39160,0.2159423679113388,0.8994396472129248
ava_test,624875,0.2612217962741852,0.9375181786096426
ava_test,581707,0.3653091788291931,0.9074419085876025
ava_test,150363,0.058389998972415924,0.9184762767238223
ava_test,696959,0.19728893041610718,0.9244550718000714
ava_test,427599,0.1826980859041214,0.9219663515164944
ava_test,349239,0.3223494589328766,0.8900892038510784
ava_test,362367,0.511448323726654,0.9085414428582591
ava_test,121289,0.571483850479126,0.9215715155994424
ava_test,387944,1.9484342336654663,0.839980169008659
ava_test,619791,0.6944165229797363,0.8918118539430161
ava_test,840304,0.16278593242168427,0.9380042000023515
ava_test,228196,0.7663756608963013,0.8785133419589687
ava_test,422979,0.33385202288627625,0.929308228834064
ava_test,298732,0.7400228381156921,0.8978079011131247
ava_test,391166,0.3035992681980133,0.9062392342388597
ava_test,624747,0.35313624143600464,0.9226453169352387
ava_test,399886,0.0,0.0
ava_test,289210,0.4284934401512146,0.9312049117920319
ava_test,192868,0.2057158499956131,0.9067377111454511
ava_test,437879,0.5198572278022766,0.9035285475905941
ava_test,146425,0.18204447627067566,0.8866408925544147
ava_test,449667,0.1923474669456482,0.9265108197715622
ava_test,880260,0.19923017919063568,0.9204173052170913
ava_test,8886,0.6180697679519653,0.8798076327719535
ava_test,456019,0.203370600938797,0.924282215008006
ava_test,537827,0.34118568897247314,0.8917159949872604
ava_test,436012,0.29914048314094543,0.9238676181629567
ava_test,38754,1.0550166368484497,0.8656648678811026
ava_test,678474,0.5318077206611633,0.9267863353818644
ava_test,52839,0.39813029766082764,0.9221682663211744
ava_test,452474,0.6237462759017944,0.9122579029867625
