group,identifier,image_path,border_centre_ratio
ava_test,221430,/home/tempuser1/aesthetics/data/images/221430.jpg,0.7390572428703308
ava_test,146420,/home/tempuser1/aesthetics/data/images/146420.jpg,0.3021836578845978
ava_test,566885,/home/tempuser1/aesthetics/data/images/566885.jpg,0.72768235206604
ava_test,596901,/home/tempuser1/aesthetics/data/images/596901.jpg,0.15318870544433594
ava_test,131285,/home/tempuser1/aesthetics/data/images/131285.jpg,0.2015100121498108
ava_test,297355,/home/tempuser1/aesthetics/data/images/297355.jpg,0.1012829914689064
ava_test,171809,/home/tempuser1/aesthetics/data/images/171809.jpg,0.37727853655815125
ava_test,606603,/home/tempuser1/aesthetics/data/images/606603.jpg,0.5576770901679993
ava_test,953180,/home/tempuser1/aesthetics/data/images/953180.jpg,0.7777590751647949
ava_test,74138,/home/tempuser1/aesthetics/data/images/74138.jpg,0.33897385001182556
ava_test,924452,/home/tempuser1/aesthetics/data/images/924452.jpg,0.7401732802391052
ava_test,414177,/home/tempuser1/aesthetics/data/images/414177.jpg,1.536648154258728
ava_test,14905,/home/tempuser1/aesthetics/data/images/14905.jpg,0.8609644174575806
ava_test,276708,/home/tempuser1/aesthetics/data/images/276708.jpg,0.14999161660671234
ava_test,524030,/home/tempuser1/aesthetics/data/images/524030.jpg,0.5729069113731384
ava_test,84025,/home/tempuser1/aesthetics/data/images/84025.jpg,0.7941571474075317
ava_test,456445,/home/tempuser1/aesthetics/data/images/456445.jpg,0.5982037782669067
ava_test,209466,/home/tempuser1/aesthetics/data/images/209466.jpg,0.2819640636444092
ava_test,209052,/home/tempuser1/aesthetics/data/images/209052.jpg,0.38148921728134155
ava_test,249676,/home/tempuser1/aesthetics/data/images/249676.jpg,0.21963222324848175
ava_test,878470,/home/tempuser1/aesthetics/data/images/878470.jpg,0.6993495225906372
ava_test,505953,/home/tempuser1/aesthetics/data/images/505953.jpg,0.7478223443031311
ava_test,512353,/home/tempuser1/aesthetics/data/images/512353.jpg,0.10846732556819916
ava_test,647992,/home/tempuser1/aesthetics/data/images/647992.jpg,0.8876490592956543
ava_test,275752,/home/tempuser1/aesthetics/data/images/275752.jpg,0.9313086867332458
ava_test,711881,/home/tempuser1/aesthetics/data/images/711881.jpg,0.3424437642097473
ava_test,916246,/home/tempuser1/aesthetics/data/images/916246.jpg,0.33802667260169983
ava_test,874286,/home/tempuser1/aesthetics/data/images/874286.jpg,0.0
ava_test,150966,/home/tempuser1/aesthetics/data/images/150966.jpg,1.2448995113372803
ava_test,95536,/home/tempuser1/aesthetics/data/images/95536.jpg,0.5107563734054565
ava_test,268057,/home/tempuser1/aesthetics/data/images/268057.jpg,0.8616056442260742
ava_test,500918,/home/tempuser1/aesthetics/data/images/500918.jpg,0.5698602199554443
ava_test,621731,/home/tempuser1/aesthetics/data/images/621731.jpg,0.3069268763065338
ava_test,866449,/home/tempuser1/aesthetics/data/images/866449.jpg,0.5046392679214478
ava_test,84636,/home/tempuser1/aesthetics/data/images/84636.jpg,0.04882550612092018
ava_test,795658,/home/tempuser1/aesthetics/data/images/795658.jpg,0.47106432914733887
ava_test,661192,/home/tempuser1/aesthetics/data/images/661192.jpg,0.868918240070343
ava_test,220298,/home/tempuser1/aesthetics/data/images/220298.jpg,0.1692534238100052
ava_test,101289,/home/tempuser1/aesthetics/data/images/101289.jpg,0.6305417418479919
ava_test,463637,/home/tempuser1/aesthetics/data/images/463637.jpg,0.1836274266242981
ava_test,717660,/home/tempuser1/aesthetics/data/images/717660.jpg,0.4441862106323242
ava_test,739163,/home/tempuser1/aesthetics/data/images/739163.jpg,0.07208593934774399
ava_test,847914,/home/tempuser1/aesthetics/data/images/847914.jpg,0.1291848123073578
ava_test,775255,/home/tempuser1/aesthetics/data/images/775255.jpg,0.1892865002155304
ava_test,910738,/home/tempuser1/aesthetics/data/images/910738.jpg,0.16507376730442047
ava_test,495290,/home/tempuser1/aesthetics/data/images/495290.jpg,0.14807356894016266
ava_test,7442,/home/tempuser1/aesthetics/data/images/7442.jpg,0.21587394177913666
ava_test,500840,/home/tempuser1/aesthetics/data/images/500840.jpg,0.41584286093711853
ava_test,695242,/home/tempuser1/aesthetics/data/images/695242.jpg,0.0562267005443573
ava_test,289672,/home/tempuser1/aesthetics/data/images/289672.jpg,0.36215004324913025
ava_test,24639,/home/tempuser1/aesthetics/data/images/24639.jpg,0.4874075949192047
ava_test,256613,/home/tempuser1/aesthetics/data/images/256613.jpg,0.4913243353366852
ava_test,195116,/home/tempuser1/aesthetics/data/images/195116.jpg,0.101680226624012
ava_test,801855,/home/tempuser1/aesthetics/data/images/801855.jpg,0.4455925524234772
ava_test,460796,/home/tempuser1/aesthetics/data/images/460796.jpg,0.08118053525686264
ava_test,5942,/home/tempuser1/aesthetics/data/images/5942.jpg,0.0
ava_test,607063,/home/tempuser1/aesthetics/data/images/607063.jpg,0.1431119590997696
ava_test,593657,/home/tempuser1/aesthetics/data/images/593657.jpg,0.37216511368751526
ava_test,123063,/home/tempuser1/aesthetics/data/images/123063.jpg,0.3536785840988159
ava_test,786285,/home/tempuser1/aesthetics/data/images/786285.jpg,0.04551755636930466
ava_test,921524,/home/tempuser1/aesthetics/data/images/921524.jpg,0.6134402751922607
ava_test,405516,/home/tempuser1/aesthetics/data/images/405516.jpg,0.4278809726238251
ava_test,144521,/home/tempuser1/aesthetics/data/images/144521.jpg,0.49076470732688904
ava_test,624340,/home/tempuser1/aesthetics/data/images/624340.jpg,0.13850592076778412
ava_test,21320,/home/tempuser1/aesthetics/data/images/21320.jpg,0.5366194248199463
ava_test,739206,/home/tempuser1/aesthetics/data/images/739206.jpg,0.05871261656284332
ava_test,125119,/home/tempuser1/aesthetics/data/images/125119.jpg,0.007573726586997509
